Ubicación,Hora,Variable,Equipo 1,Equipo 2,Equipo 3,Equipo 4,Equipo 5,Equipo 6,Profesor
1,7:15,Temperatura seca 1 m,12.4,12.9,11.6,12.9,12.9,13.1,14
1,7:18,Temperatura húmeda 1 m,10.4,10.9,10,10.3,10.9,10.3,
1,,Humedad relativa,78.2,78.5,82,72.4,78.5,70.5,55%
1,7:21,Temperatura suelo,12.1,12.4,12.1,12.4,12.4,11.7,
1,7:24,Temperatura 5 cm subsuelo,16.9,16.5,14.5,16.5,16.5,17,
2,7:29,Temperatura seca 1 m,12,12.8,11.4,12.9,12.6,12.4,13
2,7:32,Temperatura húmeda 1 m,10.1,10.2,9.5,10.2,10.2,10.1,
2,,Humedad relativa,79,72.3,78.6,71.4,74.2,75,55%
2,7:35,Temperatura suelo,10.3,11.3,9.4,11.3,11.3,9.9,
2,7:38,Temperatura 5 cm subsuelo,19.4,18.7,15.2,18.5,18.7,18.9,
3,7:43,Temperatura seca 1 m,13.5,13.1,13.4,13.1,13.1,13.5,14
3,7:46,Temperatura húmeda 1 m,11.1,11,10.2,11,11,10.9,
3,,Humedad relativa,74.9,77.6,66.9,77.6,77.6,72.9,56%
3,7:49,Temperatura suelo,15.3,16.3,15.5,16.3,16.3,16.5,
4,7:57,Temperatura seca 1 m,12.1,12.4,11.3,12.2,12.4,12,11
4,8:00,Temperatura húmeda 1 m,10.2,10.1,9.2,10.1,10.1,9.9,
4,,Humedad relativa,79,75,76.3,77,75,76.8,58%
4,8:03,Temperatura suelo,10.6,11.5,10.6,11.5,11.5,11.1,
4,8:06,Temperatura 5 cm subsuelo,18.2,14.4,14,14.7,14.4,14.1,
5,8:11,Temperatura seca 1 m,12.3,12.2,11.3,12.2,12.2,12.3,14
5,8:14,Temperatura húmeda 1 m,11.3,10.3,10,10.3,10.3,10.2,
5,,Humedad relativa,79,79.1,85.1,79.1,79.1,77.1,58%
5,8:17,Temperatura suelo,10.4,11.3,10.4,11.3,11.3,11,
5,8:20,Temperatura 5 cm subsuelo,17.1,17.1,15,17.1,17.1,16.7,
6,8:27,Temperatura seca 1 m,11.5,14.1,12,13.4,14.1,13.6,15
6,8:30,Temperatura húmeda 1 m,10.1,11,10.1,11,11,10.4,
6,,Humedad relativa,84.1,68.5,79,74.8,68.5,67.1,58%
6,8:33,Temperatura suelo,11.1,14.3,10.9,14.3,14.2,13,
6,8:36,Temperatura 5 cm subsuelo,17.6,19.1,17.4,19.1,19.1,16.7,
7,8:27,Temperatura seca 1 m,13.6,14.1,12.9,14.1,14.1,14.5,15
7,8:30,Temperatura húmeda 1 m,10.6,10.5,9.6,10.5,10.6,10.4,
7,,Humedad relativa,69,63.8,65.3,63.8,64.7,59.6,58%
7,8:33,Temperatura suelo,12.7,13.3,10.8,13.3,13.2,13.1,
7,8:36,Temperatura 5 cm subsuelo,19.1,19.7,14.8,18.4,19.8,15,